date,CPI_YOY,GDP,M0,M1,M2,PMI,SHIBOR_1M,SHIBOR_1W,SHIBOR_ON
1998-04-01,-0.3,,10173.0,33360.0,92662.0,,,,
1998-05-01,-1.0,,9984.4,33553.0,93936.0,,,,
1998-06-01,-1.3,37222.7,9720.44,33776.0,94658.0,,,,
1998-07-01,-1.4,,10037.4,34356.0,96314.0,,,,
1998-08-01,-1.4,,10129.07,35050.0,97299.0,,,,
1998-09-01,-1.5,57595.2,10528.0,36501.0,99795.0,,,,
1998-10-01,-1.1,,10501.3,36786.7,100875.2,,,,
1998-11-01,-1.2,,10671.0,37414.0,102229.0,,,,
1998-12-01,-1.0,84402.3,11204.0,38953.68,104498.5,,,,
1999-01-01,-1.2,,11997.0,39011.0,105500.0,,,,
1999-02-01,-1.3,,12784.0,38749.0,107778.0,,,,
1999-03-01,-1.8,18789.7,11342.0,38054.0,108438.0,,,,
1999-04-01,-2.2,,11225.0,38053.0,109218.0,,,,
1999-05-01,-2.2,,10889.0,38004.0,110061.0,,,,
1999-06-01,-2.1,39554.9,10881.0,38822.0,111363.0,,,,
1999-07-01,-1.4,,11199.0,38991.0,111414.0,,,,
1999-08-01,-1.3,,11395.0,40095.0,112827.0,,,,
1999-09-01,-0.8,61414.2,12255.0,41914.0,115079.0,,,,
1999-10-01,-0.6,,12154.0,42265.0,115390.0,,,,
1999-11-01,-0.9,,12483.0,43370.0,116559.0,,,,
1999-12-01,-1.0,89677.1,13455.5,45837.3,117638.1,,,,
2000-01-01,-0.2,,16093.9,46570.1,118907.8,,,,
2000-02-01,0.7,,13983.0,44679.2,119353.6,,,,
2000-03-01,-0.2,20647.0,13235.4,45158.45,120399.58,,,,
2000-04-01,-0.3,,13675.5,46319.03,121914.77,,,,
2000-05-01,0.1,,13075.45,46490.23,121902.65,,,,
2000-06-01,0.5,43748.2,13006.04,48024.4,124486.78,,,,
2000-07-01,0.5,,13156.47,47803.09,124192.78,,,,
2000-08-01,0.3,,13378.68,48885.38,125673.26,,,,
2000-09-01,0.0,68087.5,13894.69,50616.89,128352.61,,,,
2000-10-01,0.0,,13589.45,49952.84,127432.53,,,,
